Nama_Laptop,Processor,RAM,GPU,Display,Storage,Harga_USD,Detail_URL,Buy_Link
Dell G15 5515,AMD Ryzen 7 5800H,16GB RAM,"NVIDIA GeForce RTX 3050 Ti (Laptop, 90W)","15.6”, Full HD (1920 x 1080), 120 Hz, IPS",512GB SSD,116900,https://laptopmedia.com/laptop-specs/dell-g15-5515-10/,https://www.amazon.com/exec/obidos/ASIN/B0CT2B6V53?tag=specslaptops-20&linkCode=assoc-rails-rate-card-link-code-tw3
Dell G15 5535,AMD Ryzen 7 7840HS,32GB RAM,"NVIDIA GeForce RTX 4060 (Laptop, 140W)","15.6"", Full HD (1920 x 1080), 165 Hz, IPS",1000GB SSD,135900,https://laptopmedia.com/laptop-specs/dell-g15-5535-34/,https://www.amazon.com/exec/obidos/ASIN/B0CW96W3DY?tag=specslaptops-20&linkCode=assoc-rails-rate-card-link-code-tw3
Dell G15 5515,AMD Ryzen 7 5800H,64GB RAM,"NVIDIA GeForce RTX 3050 Ti (Laptop, 90W)","15.6”, Full HD (1920 x 1080), 120 Hz, IPS",4000GB SSD,176900,https://laptopmedia.com/laptop-specs/dell-g15-5515-290/,https://www.amazon.com/exec/obidos/ASIN/B0CT2XQPXM?tag=specslaptops-20&linkCode=assoc-rails-rate-card-link-code-tw3
Dell XPS 9520,Intel Core i7-12700H,16GB RAM,"NVIDIA GeForce RTX 3050 Ti (Laptop, 40W)","15.6”, FHD+ (1920 x 1200), IPS",1000GB SSD,229900,https://laptopmedia.com/laptop-specs/dell-xps-9520-82/,https://www.amazon.com/exec/obidos/ASIN/B0C6DZL8KB?tag=specslaptops-20&linkCode=assoc-rails-rate-card-link-code-tw3
Dell Inspiron 5505,AMD Ryzen 5 4500U,8GB RAM,"AMD Radeon RX Vega 6 (R4000/5000, 15W)","15.6”, Full HD (1920 x 1080), IPS",256GB SSD,74900,https://laptopmedia.com/laptop-specs/dell-inspiron-5505-17/,https://www.amazon.com/exec/obidos/ASIN/B08JGHNFJ2?tag=specslaptops-20&linkCode=assoc-rails-rate-card-link-code-tw3
Dell Latitude 15 3550,Intel Core i5-1335U,32GB RAM,Intel Iris Xe Graphics G7 (80EU),"15.6”, Full HD (1920 x 1080), IPS",1000GB SSD,89999,https://laptopmedia.com/laptop-specs/dell-latitude-15-3550-24/,https://www.amazon.com/exec/obidos/ASIN/B0D46YJSTT?tag=specslaptops-20&linkCode=assoc-rails-rate-card-link-code-tw3
Dell G15 5535,AMD Ryzen 7 7840HS,16GB RAM,"NVIDIA GeForce RTX 4060 (Laptop, 140W)","15.6"", Full HD (1920 x 1080), 165 Hz, IPS",1000GB SSD,120900,https://laptopmedia.com/laptop-specs/dell-g15-5535-7/,https://www.amazon.com/exec/obidos/ASIN/B0CW95Z8FF?tag=specslaptops-20&linkCode=assoc-rails-rate-card-link-code-tw3
Dell 16 Plus,Intel Core Ultra 9 288V,32GB RAM,Intel Arc Graphics 140V,"16.0”, WUXGA (1920 x 1200), IPS",4000GB SSD,194999,https://laptopmedia.com/laptop-specs/dell-16-plus-73/,https://www.amazon.com/exec/obidos/ASIN/B0FYCLN9LW?tag=specslaptops-20&linkCode=assoc-rails-rate-card-link-code-tw3
Dell 16,Intel Core 7 150U,32GB RAM,Intel Iris Xe Graphics G7 (96EU),"16.0″, WUXGA (1920 x 1200), IPS",1000GB SSD,359998,https://laptopmedia.com/laptop-specs/dell-16-349/,https://www.amazon.com/exec/obidos/ASIN/B0G6DHCSJX?tag=specslaptops-20&linkCode=assoc-rails-rate-card-link-code-tw3
Dell Inspiron 16 7640,Intel Core Ultra 7 155H,16GB RAM,Intel Arc (8-Cores),"16.0”, WUXGA (1920 x 1200), IPS",2000GB SSD,58895,https://laptopmedia.com/laptop-specs/dell-inspiron-16-7640-35/,https://www.amazon.com/exec/obidos/ASIN/B0DJQFT8ZV?tag=specslaptops-20&linkCode=assoc-rails-rate-card-link-code-tw3
Dell Inspiron 3520,Intel Core i7-1255U,64GB RAM,Intel Iris Xe Graphics G7 (96EU),"15.6”, Full HD (1920 x 1080), IPS",4000GB SSD,118900,https://laptopmedia.com/laptop-specs/dell-inspiron-3520-557/,https://www.amazon.com/exec/obidos/ASIN/B0DBHFB4DJ?tag=specslaptops-20&linkCode=assoc-rails-rate-card-link-code-tw3
Dell G15 5535,AMD Ryzen 7 7840HS,64GB RAM,"NVIDIA GeForce RTX 4060 (Laptop, 140W)","15.6"", Full HD (1920 x 1080), 165 Hz, IPS",2000GB SSD,167900,https://laptopmedia.com/laptop-specs/dell-g15-5535-93/,https://www.amazon.com/exec/obidos/ASIN/B0CW9K7XBX?tag=specslaptops-20&linkCode=assoc-rails-rate-card-link-code-tw3
Dell Vostro 16 5630,Intel Core i7-1360P,16GB RAM,Intel Iris Xe Graphics G7 (80EU),"16.0”, WUXGA (1920 x 1200), IPS",1000GB SSD,110900,https://laptopmedia.com/laptop-specs/dell-vostro-16-5630-4/,https://www.amazon.com/exec/obidos/ASIN/B0CYZ6WFZ8?tag=specslaptops-20&linkCode=assoc-rails-rate-card-link-code-tw3
Dell Precision 16 5680,Intel Core i7-13800H,32GB RAM,NVIDIA RTX 2000 Ada Generation (Laptop),"16.0”, WUXGA (1920 x 1200), IPS",512GB SSD,150000,https://laptopmedia.com/laptop-specs/dell-precision-16-5680-6/,https://www.amazon.com/exec/obidos/ASIN/B0D2NP7CMD?tag=specslaptops-20&linkCode=assoc-rails-rate-card-link-code-tw3
