Nama_Laptop,Processor,RAM,GPU,Display,Storage,Harga_USD,Detail_URL,Buy_Link,Price_IDR,CPU_Score,GPU_Score,Screen_Score
HP Pavilion 16,Intel Core i5-1334U,8GB RAM,Intel Iris Xe Graphics G7 (80EU),"16.0”, WUXGA (1920 x 1200), IPS",512GB SSD,59900,https://laptopmedia.com/laptop-specs/hp-pavilion-16-14/,https://www.amazon.com/exec/obidos/ASIN/B0F83H7CR8?tag=specslaptops-20&linkCode=assoc-rails-rate-card-link-code-tw3,958400000,13059,2595,90
HP 240 G8 / 245 G8,AMD Athlon Silver 3050U,8GB RAM,AMD Radeon RX Vega 3,"14.0”, HD (1366 x 768), TN",256GB SSD,40900,https://laptopmedia.com/laptop-specs/hp-240-g8-245-g8-5/,https://www.amazon.com/exec/obidos/ASIN/B0DJY33PD3?tag=specslaptops-20&linkCode=assoc-rails-rate-card-link-code-tw3,654400000,3000,1500,20
HP 15,AMD Ryzen 5 7520U,16GB RAM,AMD Radeon 610M,"15.6”, Full HD (1920 x 1080), TN",256GB SSD,42900,https://laptopmedia.com/laptop-specs/hp-15-19161/,https://www.amazon.com/exec/obidos/ASIN/B0CP4QXQX9?tag=specslaptops-20&linkCode=assoc-rails-rate-card-link-code-tw3,686400000,3000,1301,50
HP 15,Intel Core i3-1215U,16GB RAM,"Intel UHD Graphics (Alder Lake, 64EU)","15.6”, Full HD (1920 x 1080), TN",512GB SSD,53900,https://laptopmedia.com/laptop-specs/hp-15-26719/,https://www.amazon.com/exec/obidos/ASIN/B0FL719M2J?tag=specslaptops-20&linkCode=assoc-rails-rate-card-link-code-tw3,862400000,10156,1533,50
HP Chromebook 15,Intel Processor N100,32GB RAM,Intel UHD Graphics Xe (24EU),"15.6”, Full HD (1920 x 1080), IPS",1000GB SSD,61999,https://laptopmedia.com/laptop-specs/hp-chromebook-15-145/,https://www.amazon.com/exec/obidos/ASIN/B0G5BLC4F1?tag=specslaptops-20&linkCode=assoc-rails-rate-card-link-code-tw3,991984000,3000,1533,90
HP 14,Intel Processor N150,4GB RAM,Intel UHD Graphics Xe (24EU),"14.0”, HD (1366 x 768), TN",128GB SSD,28899,https://laptopmedia.com/laptop-specs/hp-14-11213/,https://www.amazon.com/exec/obidos/ASIN/B0G5NVS67H?tag=specslaptops-20&linkCode=assoc-rails-rate-card-link-code-tw3,462384000,3000,1533,20
HP 14,Intel Processor N150,8GB RAM,Intel UHD Graphics Xe (24EU),"14.0”, HD (1366 x 768), TN",128GB SSD,29999,https://laptopmedia.com/laptop-specs/hp-14-11035/,https://www.amazon.com/exec/obidos/ASIN/B0FXBNP7TQ?tag=specslaptops-20&linkCode=assoc-rails-rate-card-link-code-tw3,479984000,3000,1533,20
HP 15,Intel Core i3-N305,16GB RAM,Intel UHD Graphics Xe 750 (32EU),"15.6”, Full HD (1920 x 1080), IPS",2000GB SSD,66900,https://laptopmedia.com/laptop-specs/hp-15-25407/,https://www.amazon.com/exec/obidos/ASIN/B0FVSY12Y2?tag=specslaptops-20&linkCode=assoc-rails-rate-card-link-code-tw3,1070400000,9413,1533,90
HP 14,Intel Pentium Silver N5030,4GB RAM,Intel UHD Graphics 605,"14.0”, HD (1366 x 768), TN",128GB SSD,24500,https://laptopmedia.com/laptop-specs/hp-14-8118/,https://www.amazon.com/exec/obidos/ASIN/B0D9JG6LJ8?tag=specslaptops-20&linkCode=assoc-rails-rate-card-link-code-tw3,392000000,2526,363,20
HP 17,Intel Pentium Silver N5030,64GB RAM,Intel UHD Graphics 605,"17.3”, HD+ (1600 x 900), TN",1000GB SSD,69999,https://laptopmedia.com/laptop-specs/hp-17-10583/,https://www.amazon.com/exec/obidos/ASIN/B0DLLCX9HL?tag=specslaptops-20&linkCode=assoc-rails-rate-card-link-code-tw3,1119984000,2526,363,30
